Month,Year,Rainfall,Source,Location
August,1990,12.45,SERCC,Cruz Bay
September,1990,8.28,SERCC,Cruz Bay
October,1990,27,SERCC,Cruz Bay
November,1990,8.08,SERCC,Cruz Bay
December,1990,7.11,SERCC,Cruz Bay
January,1991,7.19,SERCC,Cruz Bay
February,1991,10.08,SERCC,Cruz Bay
March,1991,4.75,SERCC,Cruz Bay
April,1991,6.86,SERCC,Cruz Bay
May,1991,5.56,SERCC,Cruz Bay
June,1991,1.5,SERCC,Cruz Bay
July,1991,4.32,SERCC,Cruz Bay
August,1991,6.99,SERCC,Cruz Bay
September,1991,9.42,SERCC,Cruz Bay
October,1991,5.64,SERCC,Cruz Bay
November,1991,19.33,SERCC,Catherinberg
December,1991,4.39,SERCC,Catherinberg
January,1992,13.28,SERCC,Cruz Bay
February,1992,3.94,SERCC,Caneel Bay
March,1992,2.59,SERCC,Cruz Bay
April,1992,6.07,SERCC,Catherinberg
May,1992,17.83,SERCC,Cruz Bay
June,1992,4.37,SERCC,Catherinberg
July,1992,4.14,SERCC,Catherinberg
August,1992,6.27,SERCC,Catherinberg
September,1992,10.85,SERCC,Catherinberg
October,1992,14.48,SERCC,Catherinberg
November,1992,25.25,SERCC,Catherinberg
December,1992,13.54,SERCC,Catherinberg
January,1993,8.15,SERCC,Catherinberg
February,1993,6.48,SERCC,Catherinberg
March,1993,2.06,SERCC,Cruz Bay
April,1993,8.92,SERCC,Cruz Bay
May,1993,11.51,SERCC,Cruz Bay
June,1993,11.18,SERCC,Cruz Bay
July,1993,10.72,SERCC,Cruz Bay
August,1993,2.77,SERCC,Cruz Bay
September,1993,15.47,SERCC,Cruz Bay
October,1993,8.05,SERCC,Cruz Bay
November,1993,21.23,SERCC,Cruz Bay
December,1993,5.11,SERCC,Cruz Bay
January,1994,5.72,SERCC,Cruz Bay
February,1994,2.62,SERCC,Cruz Bay
March,1994,8.51,SERCC,Cruz Bay
April,1994,11.18,SERCC,Cruz Bay
May,1994,1.42,SERCC,Cruz Bay
June,1994,1.17,SERCC,Cruz Bay
July,1994,2.59,SERCC,Cruz Bay
August,1994,3.45,SERCC,Cruz Bay
September,1994,10.19,SERCC,Catherinberg
October,1994,6.07,SERCC,Cruz Bay
November,1994,8.59,SERCC,Cruz Bay
December,1994,6.58,SERCC,Caneel Bay
January,1995,8.05,SERCC,Caneel Bay
February,1995,3.91,SERCC,Cruz Bay
March,1995,2.06,SERCC,Cruz Bay
April,1995,0.23,SERCC,Caneel Bay
May,1995,3.1,SERCC,Cruz Bay
June,1995,6.5,SERCC,Cruz Bay
July,1995,12.29,SERCC,Cruz Bay
August,1995,10.06,SERCC,Caneel Bay
September,1995,24.89,SERCC,Catherinberg
October,1995,11.66,SERCC,Cruz Bay
November,1995,4.55,SERCC,Catherinberg
December,1995,15.14,SERCC,Caneel Bay
January,1996,16.31,SERCC,Caneel Bay
February,1996,3.48,SERCC,Caneel Bay
March,1996,9.58,SERCC,Catherinberg
April,1996,8.97,SERCC,Cruz Bay
May,1996,6.86,SERCC,Catherinberg
June,1996,1.85,SERCC,Cruz Bay
July,1996,13.77,SERCC,Catherinberg
August,1996,6.93,SERCC,Cruz Bay
September,1996,16.87,SERCC,Cruz Bay
October,1996,2.67,SERCC,Cruz Bay
November,1996,26.39,SERCC,East End
December,1996,2.59,SERCC,East End
January,1997,9.25,SERCC,East End
February,1997,9.17,SERCC,East End
March,1997,3.23,SERCC,East End
April,1997,0.81,SERCC,East End
May,1997,2.97,SERCC,Cruz Bay
June,1997,1.85,SERCC,Cruz Bay
July,1997,6.78,SERCC,Cruz Bay
August,1997,14.3,SERCC,East End
September,1997,15.82,SERCC,25-27 year average due to missing data
October,1997,15.16,SERCC,Days incomplete but data available > than 25+ year mean
November,1997,10.21,SERCC,Cruz Bay
December,1997,2.92,SERCC,Cruz Bay
January,1998,9.65,SERCC,Cruz Bay
February,1998,2.44,SERCC,Cruz Bay
March,1998,6.73,SERCC,Cruz Bay
April,1998,11.84,SERCC,Cruz Bay
May,1998,10.69,SERCC,Cruz Bay
June,1998,4.5,SERCC,Cruz Bay
